Animes-,,,,,,,,,,,,,,,,
Animes-,Minha Nota,Visto/Assistindo,Em lançamento,Data,Reassistir,,Temporadas,Eps,Eps/Temporada,Lançamento,Gênero,Fichado,Vezes Assistido,Duração dos Eps,Eps Assistidos,Tempo
Hangyakusei Million Arthur,1,Desisti,Não,-,,1,1,21,21,,,,1,22,1,22
Tokyo Ghoul 3,1,Desisti,Não,-,,2,,,,,,,1,22,2,44
Fukigen Na Mononokean,,Desisti,,,,2,2,,,,,,1,22,2,44
Zombie Land Saga,,Desisti,,,,1,1,12,12,,,,1,22,1,22
Aishen Qiaokeli-Ing,,Desisti,,,,2,,,,,,,1,22,2,44
Little Witch Academia,,Desisti,,,,4,1,25,25,2017,AventuraComédiaFantasiaMagiaVida Escolar,V,1,22,4,88
Choujuushin Gravion,,Desisti,,,,,,,,,,,1,22,0,0
Angelic Layer,,Desisti,,,,,,,,,,,1,22,0,0
To Love-Ru,,Desisti,,,,1,,,,,,,1,22,1,22
Love Lab,,Desisti,,,,1,,,,,,,1,22,1,22
Cheating Craft,,Desisti,,,,1,,,,,,,1,22,1,22
Anatsu Kyoushitsu(Assassination Classroom),98,Em Pause,,,,23,2,48,23.25,2015-2016,AçãoComédiaSchoolShounen,V,1,22,23,506
Knights Of Sidonia,98,Em Pause,,,,13,,,,2014,AçãoEspaçoFicção CientíficaMechaSeinen,V,1,22,13,286
Ah! Megami Sama!,98,Em Pause,,,,7,,,,,,,1,22,7,154
Sekirei,97,Em Pause,,,,13,2,26,12.14,2008,AçãoComédiaEcchiHarém?Superpoder,V,1,22.2,13,289
Shijou Saikyou No Deshi Kenichi,97,Em Pause,,,,29,1,50,50,2006,AçãoArtes MarciaisComédiaSchoolShounen,V,1,22,29,638
Tales Of Zestiria The X,95,Em Pause,Não,3ª Temporada?,,9,2,27,1.26,2014-2016,Ação. Aventura. Fantasia. Magia,V,1,35,9,315
Devils Line,95,Em Pause,,,,2,1,2,,,,,1,22,2,44
The Last Witch,95,Em Pause,,,,4,,,,,,,1,22,4,88
Hinamatsuri ,94,Em Pause,,,,,1,12,12,2018,ComédiaFicção CientíficaSeinenSlice Of LifeSobrenatural,V,1,22,0,0
Danshi Koukousei No Nichijou,92,Em Pause,,,,5,,,,,,,1,22,5,110
Ghost In The Shell,,Em Pause,,Lançamento 2020,,2,,,,,,,1,22,2,44
Itai No Wa Iya Nano De Bougyoryoku Ni Kyokufuri Shitai To Omoimasu.,,Em Pause,Não,Quarta-Feira,01/04/20,2,,,,,,,1,22,2,44
Shinchou Yuusha- Kono Yuusha Ga Ore Tueee Kuse Ni Shinchou Sugiru,,Em Pause,Sim,,,4,1,4,,,,,1,22,4,88
Qualidea Code,,Em Pause,,,,2,,,,,,,1,22,2,44
Bleach,,Em Pause,,,,150,,,,,,,1,22,150,3300
Classroom?Crisis,,Em Pause,,,,2,,,,,,,1,22,2,44
Date A Live,,Em Pause,,,,T2E6,,,,,,,1,22,#VALOR!,#VALOR!
Densetsu No Yuusha No Densetsu,,Em Pause,,,,6,,,,,,,1,22,6,132
Divine Gate,,Em Pause,,,,,,,,,,,1,22,0,0
Dororo,,Em Pause,Não,,,1,,,,,,,1,22,1,22
Grisaia No Kajitsu,,Em Pause,,,,10,,,,,,,1,22,10,220
Magi- The Labyrinth Of Magic,,Em Pause,,,,4,,,,,,,1,22,4,88
Maid-Sama,,Em Pause,,,,9,,,,,,,1,22,9,198
Maou-Sama. Retry!,,Em Pause,,,,2,,,,,,,1,22,2,44
Monster Musume No Iru Nichijou,,Em Pause,,,,4,,,,,,,1,22,4,88
Nakanohito Genome,,Em Pause,,,,2,,,,,,,1,22,2,44
One Piece,,Em Pause,,,,1,,,,,,,1,22,1,22
Overlord,,Em Pause,,,,4,,,,,,,1,22,4,88
Reikenzan- Hoshikuzu-Tachi No Utage ,,Em Pause,,,,T2E5,,,,,,,1,22,#VALOR!,#VALOR!
Rokka No Yuusha,,Em Pause,,,,3,,,,,,,1,22,3,66
Rosario + Vampire,,Em Pause,,,,T2E1,,,,,,,1,22,#VALOR!,#VALOR!
Seikon No Qwaser,,Em Pause,,,,7,,,,,,,1,22,7,154
Sora Yori Mo Tooi Basho,,Em Pause,,,,3,,,,,,,1,22,3,66
Tsuujou Kougeki Ga Zentai Kougeki De Ni-Kai Kougeki No Okaasan Wa Suki Desu Ka?,,Em Pause,,,,3,,,,,,,1,22,3,66
Zatch Bell,,Em Pause,,,,4,,,,,,,1,22,4,88
Amnesia,,Em Pause,,,,2,,,,,,,1,22,2,44
Sengoku Otome- Momoiro Paradox,,Em Pause,,,,4,,,,,,,1,22,4,88
Joukamachi No Dandelion,,Em Pause,,,,1,,,,,,,1,22,1,22
Baka To Test To Shoukanjuu,,Em Pause,,,,1,,,,,,,1,22,1,22
No Guns Life,,Em Pause,,,,3,,,,,,,1,22,3,66
Kujira No Kora Wa Sajou Ni Utau,,Em Pause,,,,1,,,,,,,1,22,1,22
Kiss X Sis,,Em Pause,,,,4,,,,,,,1,22,4,88
Mahou Sensei Negima,,Em Pause,,,,5,,,,,,,1,22,5,110
Princess Connect,,Em Pause,,,,6,,,,,,,1,22,6,132
Bna,,Em Pause,Sim,,,,,,,,,,1,22,0,0
Kitsune No Senko San,,Em Pause,Sim,,,1,,,,,,,1,22,1,22
Digimon Adventure,,Em Pause,Sim,,,1,,,,,,,1,22,1,22
Youkai Watch- Shadow Side,,Em Pause,,,,4,,,,,,,1,22,4,88
Muhyo To Rouji No Mahouritsu Soudan Jimusho,,Em Pause,,,,1,,,,,,,1,22,1,22
Ahiru No Sora,,Na Fila,,,,,,,,,,,1,22,-,0
Appare-Ranman,,Na Fila,Sim,,,,,,,,,,1,22,-,0
Hatena?Illusion,,Na Fila,Sim,,,,,,,,,,1,22,-,0
Jashin-Chan Dropkick,,Na Fila,,,,,,,,,,,1,22,-,0
Junketsu No Maria,,Na Fila,,,,,,,,,,,1,22,-,0
Kanata No Astra ,,Na Fila,,,,,,,,,,,1,22,-,0
Kuzu No Honkai,,Na Fila,,,,,,,,,,,1,22,-,0
Mahoutsukai No Yome,,Na Fila,,,,,,,,,,,1,22,-,0
Mirai Nikki,,Na Fila,,,,,,,,,,,1,22,-,0
Overflow,,Na Fila,,,,,,,,,,,1,22,-,0
Plastic Memories,,Na Fila,,,,,,,,,,,1,22,-,0
Shin Sakura Taisen The Animation,,Na Fila,Sim,,,,,,,,,,1,22,-,0
Shironeko Project,,Na Fila,Sim,,,,,,,,,,1,22,-,0
To Love Ru,,Na Fila,,,,,4,64,,,,,1,22,-,0
Tsugu Tsugumomo,,Na Fila,Sim,,,,,,,,,,1,22,-,0
Yosuga No Sora,,Na Fila,,,,,,,,,,,1,22,-,0
Boogiepop Phantom,,Na Fila,,,,,,,,,,,1,22,-,0
B- The Beginning,,Na Fila,,,,,,,,,,,1,22,-,0
Sounan De Su Ka,,Na Fila,,,,,,,,,,,1,22,-,0
Gabriel Dropout,,Na Fila,,,,,,,,,,,1,22,-,0
Rainbow- Nisha Rokubou No Shichinin,,Não,Não,-,,,1,26,26,,,,1,22,-,0
Uzumaki,,Não,,Lançamento 2020,,,,,,,,,1,22,-,0
Given,,Não,Sim,Quinta-Feira,,,1,11,11,,,,1,22,-,0
Houkago Saikoro Club,,Não,Sim,Sexta-Feira,,,1,6,6,,,,1,22,-,0
Monster,,Não,,,,,,,,,,,1,22,-,0
Vinland Saga,,Não,,,,,,,,,,,1,22,-,0
Working,,Não,,,,,,,,,,,1,22,-,0
Koutetsujou No Kabaneri (Filmes),,Não,Não,,,,3,3,3,,,,1,22,-,0
Photo Kano,,Não,Não,,,,1,13,13,,,,1,22,-,0
Clockwork Planet,,Não,,,,,,,,,,,1,22,-,0
Kingdom,,Não,,,,,,,,,,,1,22,-,0
Tokyo Majin Gakuen Kenpucho,,Não,,,,,,,,,,,1,22,-,0
Accel World,,Não,,,,,,,,,,,1,22,-,0
Ajin,,Não,,,,,,,,,,,1,22,-,0
Anne Happy,,Não,,,,,,,,,,,1,22,-,0
Baka To Test,,Não,,,,,,,,,,,1,22,-,0
Ballroom E Youkoso,,Não,,,,,,,,,,,1,22,-,0
Barakamon,,Não,,,,,,,,,,,1,22,-,0
Bersek,,Não,,,,,,,,,,,1,22,-,0
Black Lagoon,,Não,,,,,,,,,,,1,22,-,0
Boruto- Naruto Next Generations,,Não,,,,,,,,,,,1,22,-,0
Bungou Stray Dogs,,Não,,,,,,,,,,,1,22,-,0
Chmo Crusade,,Não,,,,,,,,,,,1,22,-,0
Choujigen Game Neptune The Animation,,Não,,,,,,,,,,,1,22,-,0
Chuunibyou Demo Koi Ga Shitai,,Não,,,,,,,,,,,1,22,-,0
Citrus,,Não,,,,,,,,,,,1,22,-,0
Clannad,,Não,,,,,,,,,,,1,22,-,0
Code Geass. Hangyaku No Lelouch R2,,Não,,,,,,,,,,,1,22,-,0
Cowboy Bebop,,Não,,,,,,,,,,,1,22,-,0
Darker Than Black,,Não,,,,,,,,,,,1,22,-,0
Death Parade,,Não,,,,,,,,,,,1,22,-,0
Demi-Chan Wa Kataritai,,Não,,,,,,,,,,,1,22,-,0
Detective Conan,,Não,,,,,,,,,,,1,22,-,0
Detroit Metal City,,Não,,,,T1E4,,,,,,,1,22,#VALOR!,#VALOR!
Domestic Kanojo,,Não,,,,,,,,,,,1,22,-,0
Durarara,,Não,,,,,,,,,,,1,22,-,0
Ergo Proxy,,Não,,,,,,,,,,,1,22,-,0
Ero Manga Sensei,,Não,,,,,,,,,,,1,22,-,0
Fate/Stay Night,,Não,,,,,,,,,,,1,22,-,0
Fuuka,,Não,,,,,,,,,,,1,22,-,0
Gantz,,Não,,,,,,,,,,,1,22,-,0
Gekkan Shoujo Nozaki-Kun,,Não,,,,,,,,,,,1,22,-,0
Giant Killing,,Não,,,,,,,,,,,1,22,-,0
,,Não,,,,,,,,,,,1,22,-,0
Golden Boy,,Não,,,,,,,,,,,1,22,-,0
Golden Time,,Não,,,,,,,,,,,1,22,-,0
Gto - Great Teacher Onizuka,,Não,,,,,,,,,,,1,22,-,0
Haiyore! Nyaruko-San,,Não,,,,,,,,,,,1,22,-,0
Hajimete No Gal,,Não,,,,,,,,,,,1,22,-,0
Hancook(Filme),,Não,,,,,,,,,,,1,22,-,0
He-Man,,Não,,,,,,,,,,,1,22,-,0
Hi Score Girl,,Não,,,,,,,,,,,1,22,-,0
Hitoribocchi No Marumaru Seikatsu,,Não,,,,,,,,,,,1,22,-,0
Hokuto No Ken,,Não,,,,,,,,,,,1,22,-,0
Imouto Sae Ireba Ii,,Não,,,,,,,,,,,1,22,-,0
Inuyashiki,,Não,,,,,,,,,,,1,22,-,0
Jojo No Kimyou Na Bouken 2016,,Não,,,,,,,,,,,1,22,-,0
Jojo No Kimyou Na Bouken 2018,,Não,,,,,,,,,,,1,22,-,0
Kaguya-Sama Wa Kokurasetai- Tensai-Tachi No Renai Zunousen,,Não,,,,,,,,,,,1,22,-,0
Kaka To Test To Shoukanjuu,,Não,,,,,,,,,,,1,22,-,0
Kameko Deluxe,,Não,,,,,,,,,,,1,22,-,0
Kanata No Astra,,Não,,,,,,,,,,,1,22,-,0
Kemono Michi- Rise Up,,Não,,,,,,,,,,,1,22,-,0
Kiseijuu- Sei No Kakuritsu,,Não,,,,,,,,,,,1,22,-,0
Kono Oto Tomare,,Não,,,,,,,,,,,1,22,-,0
,,Não,,,,,,,,,,,1,22,-,0
Kousetsu Hyaku Monogatari,,Não,,,,,,,,,,,1,22,-,0
Love Hina,,Não,,,,,,,,,,,1,22,-,0
,,Não,,,,,,,,,,,1,22,-,0
Love Live! Sunshine!!,,Não,,,,,,,,,,,1,22,-,0
Magi- The Labyrint Of Magic,,Não,,,,,,,,,,,1,22,-,0
Magic-Kyun! Renaissance,,Não,,,,,,,,,,,1,22,-,0
Manaria Friends,,Não,,,,,,,,,,,1,22,-,0
Momokuri,,Não,,,,,,,,,,,1,22,-,0
My Roommate Is A Cat,,Não,,,,,,,,,,,1,22,-,0
Myteenage Romantic,,Não,,,,,,,,,,,1,22,-,0
Natsume Yuujinchou,,Não,,,,,,,,,,,1,22,-,0
Netgame No Yome,,Não,,,,,,,,,,,1,22,-,0
Netoge No Yome ,,Não,,,,,,,,,,,1,22,-,0
,,Não,,,,,,,,,,,1,22,-,0
Ninja Resurrection,,Não,,,,,,,,,,,1,22,-,0
Ninja Scroll,,Não,,,,,,,,,,,1,22,-,0
Ninja Slayer,,Não,,,,,,,,,,,1,22,-,0
Noucome,,Não,,,,,,,,,,,1,22,-,0
Nyan Koi!,,Não,,,,,,,,,,,1,22,-,0
Ookami Shoujo To Kuro Ouiji,,Não,,,,,,,,,,,1,22,-,0
Oregairu,,Não,,,,,,,,,,,1,22,-,0
,,Não,,,,,,,,,,,1,22,-,0
Prison School,,Não,,,,,,,,,,,1,22,-,0
Psycho-Pass,,Não,,,,,,,,,,,1,22,-,0
Rurouni Kenshin- Shin Kyoto Hen,,Não,,,,,,,,,,,1,22,-,0
S.Cry.Ed,,Não,,,,,,,,,,,1,22,-,0
Sai No Hoken Taiiku ,,Não,,,,,,,,,,,1,22,-,0
Saimin Seishidou,,Não,,,,,,,,,,,1,22,-,0
Saint Oniisan,,Não,,,,,,,,,,,1,22,-,0
Samurai X,,Não,,,,,,,,,,,1,22,-,0
Sarazanmai,,Não,,,,,,,,,,,1,22,-,0
Seishun Buta,,Não,,,,,,,,,,,1,22,-,0
Serial Experiments Lain,,Não,,,,,,,,,,,1,22,-,0
Shigatsu Wa Kimi No Uso,,Não,,,,,,,,,,,1,22,-,0
Shigurui,,Não,,,,,,,,,,,1,22,-,0
Shiki,,Não,,,,,,,,,,,1,22,-,0
Shoujo Shuumatsu Ryokou,,Não,,,,,,,,,,,1,22,-,0
Shuumatsu Nani Shitemasu Ka? Isogashii Desu Ka? Sukutte Moratte Ii Desu Ka?,,Não,,,,,,,,,,,1,22,-,0
Soul Eater,,Não,,,,,,,,,,,1,22,-,0
Speed Grapher,,Não,,,,,,,,,,,1,22,-,0
Steins Gate,,Não,,,,,,,,,,,1,22,-,0
Sword Art Online Gun Gale Online,,Não,,,,,,,,,,,1,22,-,0
Tengen Toppa Gurren Lagann,,Não,,,,,,,,,,,1,22,-,0
Texhnolyze,,Não,,,,,,,,,,,1,22,-,0
Tsurezure-Chidren,,Não,,,,,,,,,,,1,22,-,0
Watashi Ni Tenshi Ga Maiorita,,Não,,,,,,,,,,,1,22,-,0
Www.Working!!,,Não,,,,,,,,,,,1,22,-,0
X (Tv),,Não,,,,,,,,,,,1,22,-,0
Xxxholic,,Não,,,,,,,,,,,1,22,-,0
Yu-Gi-Oh!,,Não,,,,,,,,,,,1,22,-,0
Yuru Camp,,Não,,,,,,,,,,,1,22,-,0
Zankyou No Terror,,Não,,,,,,,,,,,1,22,-,0
Zombie-Loan,,Não,,,,,,,,,,,1,22,-,0
Super Onze,,Não,,,,,,,,,,,1,22,-,0
,,Não,,,,,,,,,,,1,22,-,0
Assault Lily- Bouquet,,Next,,1ª Temporada 1 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Higurashi no Naku Koro ni (Reboot),,Next,,1ª Temporada 1 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Yuukoku no Moriarty,,Next,,1ª Temporada 11 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
100-man no Inochi no Ue ni Ore,,Next,,1ª Temporada 2 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Majo no Tabitabi,,Next,,1ª Temporada 2 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Kings Raid,,Next,,1ª Temporada 2 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Dragon Quest- Dai no Daibouken,,Next,,1ª Temporada 2 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Tonikaku Kawai,,Next,,1ª Temporada 2 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Senyoku no Sigfrida,,Next,,1ª Temporada 3 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Hanya no Yashahime,,Next,,1ª Temporada 3 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Kami-tachi ni Hirowareta,,Next,,1ª Temporada 4 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Munou no Nana,,Next,,1ª Temporada 4 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Noblesse,,Next,,1ª Temporada 5 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Kimi to Boku no Saigo,,Next,,1ª Temporada 7 de Outubro,,,,,,,,,1,22,#N/DISP,#N/DISP
Gibiate,,Next,Sim,,,,,,,,,,1,22,#N/DISP,#N/DISP
Blood-C,,Next,,,,,,,,,,,1,22,#N/DISP,#N/DISP
Angels Feather,,Next,,,,,,,,,,,1,42,#N/DISP,#N/DISP
Animatrix,,Next,,,,,,,,,,,1,22,#N/DISP,#N/DISP
Arslan Senki,,Next,,,,,,,,,,,1,22,#N/DISP,#N/DISP
Steel Angel Kurumi,,Next,,,,,,,,,,,1,22,#N/DISP,#N/DISP
,,Tsugi,Não,-,,,1,12,12,,,,1,22,-,0
Tsubasa- Reservoir Chronicle,,Tsugi,,,,,,,,,,,1,22,-,0
Kyoukai No Kanata Movie- I Ll Be Here - Kako-Hen,,Tsugi,,,,,,,,,,,1,80,-,0
Kyoukai No Kanata Movie- I Ll Be Here - Mirai-Hen,,Tsugi,,,,,,,,,,,1,100,-,0
Tower Of Gods,,Tsugi,Sim,,,,,,,,,,1,22,-,0
Shironeko Project- Zero,,Tsugi,Sim,,,,,,,,,,1,22,-,0
,,Tsugi,,,,,,,,,,,1,22,-,0
Ladies Versus Butlers,,Tsugi,,,,,,,,,,,1,22,-,0
Maoou Maou No Yuusha,,Tsugi,,,,,,,,,,,1,22,-,0
Nagasarete Airantou,,Tsugi,,,,,,,,,,,1,22,-,0
Nurarihyon No Mago,,Tsugi,,,,,,,,,,,1,22,-,0
One Outs,,Tsugi,,,,,,,,,,,1,22,-,0
Bungo To Alchemist,,Tsugi,,,,,,,,,,,1,22,-,0
Seitokai Yakuindomo,,Tsugi,,,,,,,,,,,1,22,-,0
Zettai Karen Children- The Unlimited,,Tsugi,,,,,,,,,,,1,22,-,0
Utawarerumono,,Tsugi,,,,,,,,,,,1,22,-,0
Full Metal Panic? Fumoffu,,Tsugi,,,,,,,,,,,1,22,-,0
Hokuto No Ken ,,Tsugi,,,,,,,,1984,,,1,22,-,0
Somali To Mori No Kamisama,,Tsugi,,,,,,,,,,,1,22,-,0
Helsing Ultimate,,Tsugi,,,,,,,,,,,1,22,-,0
Nekopara,,Tsugi,,,,,,,,,,,1,22,-,0
K (K-Project),,Tsugi,,,,,,,,,,,1,22,-,0
R.O.D The Tv,,Tsugi,,,,,,,,,,,1,22,-,0
,,Tsugi,,,,,,,,,,,1,22,-,0
Kill La Kill,,Tsugi,,,,,,,,,,,1,22,-,0
Bakemonogatari,,Tsugi,,,,,,,,,,,1,22,-,0
Tiger & Bunny,,Tsugi,,,,,,,,,,,1,22,-,0
Hajime No Ippo,,Tsugi,,,,,,,,,,,1,22,-,0
Majutsushi Orphen 1998,,Tsugi,,,,,,,,,,,1,22,-,0
Asura Cryin,97,,,,,,,,,,,,1,22,-,0
Busou Renkin,90,,,,,,,,,,,,1,22,-,0
Spiritpact,85,,,,,2,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
Fugou Keiji,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,1x,,,,,,,,1,22,-,0
Brave 10,,,,,,,,,,,,,1,22,-,0
.Hack//Sign,,,,,,,,,,,,,1,22,-,0
Aquarion Evol,,,,,,,,,,,,,1,22,-,0
Magic Kyun Renaissance,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
Gundam Iron Blooded Orphans,,,,,,,,,,,,,1,22,-,0
Kyoukou Suiri,,,,,,,,,,,,,1,22,-,0
Mahou Shoujo Madoka Magica,,,,,,,,,,,,,1,22,-,0
Maji De Watashi Ni Koi Shinasai!,,,,,,,,,,,,,1,22,-,0
Maken-Ki Ovas,,,,,,,1,2,2,2011,AçãoArtes MarciaisEcchiHarém?SchoolSobrenatural,V,1,25,-,0
Start Driver,,,,,,,,,,,,,1,22,-,0
Mobile Fighter G Gundam,,,,,,,,,,,,,1,22,-,0
Strike Witches,,,,,,,,,,,,,1,22,-,0
Mobile Suit Gundam,,,,,,,,,,,,,1,22,-,0
Muv-Luv Alternative- Total Eclipse,,,,,,,,,,,,,1,22,-,0
Girls Und Panzer,,,,,,,,,,,,,1,22,-,0
Asobi Ni Ikuyo,,,,,,,,,,,,,1,22,-,0
Youjo Senki,,,,,,,,,,,,,1,22,-,0
Record Of Grancrest War,,,,,,,,,,,,,1,22,-,0
The Kings Avatar,,,,,,,,,,,,,1,22,-,0
Tales Of Demons And Gods,,,,,,,,,,,,,1,22,-,0
Doulo Daluo,,,,,,,,,,,,,1,22,-,0
Maoyuu Maou Yuusha,,,,,,,,,,,,,1,22,-,0
Zetsuen No Tempest,,,,,,,,,,,,,1,22,-,0
Persona 4,,,,,,,,,,,,,1,22,-,0
Gundam Seed,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
Yuuki Yuuna Wa Yuusha De Aru,,,,,,,,,,,,,1,22,-,0
Mahoutsukai No Yome,,,,,,,,,,,,,1,22,-,0
Machine Doll Wa Kizuttsukanai Ovas,,,,,,,1,6,,,,,1,22,-,0
Moetan,,,,,,,,,,,,,1,22,-,0
Irozuku Sekai No Ashita Kara,,,,,,,,,,,,,1,22,-,0
Amagi Brilliant Park,,,,,,,,,,,,,1,22,-,0
Persona- Trinity Soul,,,,,,,,,,,,,1,22,-,0
Druaga No Tou,,,,,,,,,,,,,1,22,-,0
Musaigen No Phantom World,,,,,,,,,,,,,1,22,-,0
Beatless,,,,,,,,,,,,,1,22,-,0
Touhou Gensou Mangekyou,,,,,,,,,,,,,1,22,-,0
Madoka,,,,,,2,,,,,,,1,22,-,0
Gakkou Gurashi,,,,,,,,,,,,,1,22,-,0
Monster Musume No Oishasan,,,,,,,,,,,,,1,22,-,0
Nisekoi,,,,,,,,,,,,,1,22,-,0
Endride,,,,,,,,,,,,,1,22,-,0
Peter Grill,,,,,,,,,,,,,1,22,-,0
Youjo Senki,,,,,,,,,,,,,1,22,-,0
Watashi Nouryoku Wa,,,,,,,,,,,,,1,22,-,0
The God Of High School,,,Sim,,,,,,,,,,1,22,-,0
Crest Of The Stars,,,,,,,,,,,,,1,22,-,0
Gintama,,,,,,,,,,,,,1,22,-,0
Chu Feng- B.E.E,,,,,,,,,,,,,1,22,-,0
El Hazard- The World Magnificent,,,,,,,,,,,,,1,22,-,0
Fate/Zero,,,,,,,,,,,,,1,22,-,0
Anime-Gatari,,,,,,,,,,,,,1,22,-,0
Oregairu,,,,,,,,,,,,,1,22,-,0
Ben 10,,,,,,,,,,,,,1,22,-,0
Cardfight!! Vanguard,,,,,,,,,,,,,1,22,-,0
As Terríveis Aventuras De Billy E Mandy,,,,,,,,,,,,,1,22,-,0
O Clube Das Winx,,,,,,,,,,,,,1,22,-,0
Chaos Dragon,,,,,,7,,,,,,,1,22,-,0
Grand Blue,,,,,,,,,,,,,1,22,-,0
Pop Team Epic,,,,,,,,,,,,,1,22,-,0
Island,,,,,,,,,,,,,1,22,-,0
Flying Witch,,,,,,,,,,,,,1,22,-,0
Denkigai no Honya-san,,,,,,,,,,,,,1,22,-,0
Tasogare Otome x Amnesia,,,,,,,,,,,,,1,22,-,0
 ReLife,,,,,,,,,,,,,1,22,-,0
Amagi Brilliant Park ,,,,,,,,,,,,,1,22,-,0
Shirobako,,,,,,,,,,,,,1,22,-,0
Monster,,,,,,,,,,,,,1,22,-,0
Golden Kamuy,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
,,,,,,,,,,,,,1,22,-,0
