Animes-,,,,,,,,,,,,,,,,
Animes-,Minha Nota,Visto/Assistindo,Em lançamento,Data,Reassistir,,Temporadas,Eps,Eps/Temporada,Lançamento,Gênero,Fichado,Vezes Assistido,Duração dos Eps,Eps Assistidos,Tempo
Another,98,Assistido,Não,-,1x,,1,12,12,,,,1,22,12,264
Garo Vanishing Line,98,Assistido,,2 Temporada-,1x,,1,24,24,2017,Aventura. Fantasia ,V,1,22,24,528
Re- Zero Kara Hajimeru Isekai Seikatsu,98,Assistido,Não,2ª Temporada Abril,1x,,1,26,26,2016,Drama. Fantasia. Psicológico. Thriller,V,1,22,26,572
Ao-Chan Can’t Study!,98,Assistido,,2ª Temporada?,1x,,1,12,12,2019,Comédia. Ecchi. Romance. Shounen,V,1,22,12,264
Elfen Lied,98,Assistido,,2ª Temporada?,1x,,1,13,13,2004,Ação. Drama. Horror. Psicológico. Romance. Seinen. Sobrenatural,V,1,22,13,286
H.O.T.D High School Of The Death,98,Assistido,Não,2ª Temporada?,1x,,1,12,12,,,,1,22,12,264
Tokyo Ravens,98,Assistido,Não,2ª Temporada?,1x,,1,24,24,2013,ComédiaMagiaRomanceSchoolSobrenatural,V,1,22,24,528
We Never Learn- Bokuben,98,Assistido,Não,2ª Temporada?,1x,,1,26,26,2019,Comédia. Harém. Romance. Shounen. Vida Escolar,V,1,22,26,572
Infinite Dendrogram,98,Assistido,Não,2ªTemporada?,1x,,1,13,13,2020,Fantasia. Isekai. Jogos,V,1,22,13,286
Log Horizon,98,Assistido,Não,3ª Temporada Outubro 2020,1x,,2,50,25.25,2013-2014,Ação. Aventura. Fantasia. Ficção Científica. Isekai. Jogos. Magia,V,1,22,50,1100
Hundred,98,Assistido,Não,,2x,,1,12,12,2016,AçãoEcchiFicção CientíficaHarém?MechaRomanceVida Escolar,V,2,22,24,528
Shichisei No Subaru,98,Assistido,Não,,1x,,1,12,12,2018,AçãoFantasiaFicção CientíficaJogos,V,1,22,12,264
Full Metal Panic?,98,Assistido,Não,,1x,,1,24,24,2002,AçãoComédiaFicção CientíficaMechaMilitar,V,1,22,24,528
Phantasy Star Online 2- Episode Oracle,98,Assistido,,,,,1,25,25,2019,Ação. Espaço. Ficção Científica. Jogos,V,1,22,25,550
Machine Doll Wa Kizuttsukanai,98,Assistido,,,,,1,12,12,2013,AçãoEcchiFantasiaVida Escolar,V,1,22,12,264
Gate- Jieitai Kanochi Nite. Kaku Tatakaeri,98,Assistido,,,,12,2,24,12.12,2015-2016,Fantasia. Isekai,V,1,22,36,792
Murenase! Seton Gakuen,98,Assistido,,,,,1,13,13,2020,ComédiaVida ,V,1,22,13,286
Yamada-kun A 7-nin No Majo (OVA),98,Assistido,,,,,1,2,2,2014,ComédiaHarém?MistérioRomanceSchoolShounenSobrenatural,V,1,30,2,60
Another World,98,Assistido,,,,,1,3,3,2019,Ficção Científica,V,1,10,3,30
Taimadou Gakuen 35 Shiken Shoutai,98,Assistido,,,,,1,12,12,2015,AçãoEcchiFantasiaHarém?MilitarRomanceSobrenatural,V,1,22,12,264
The Promised Neverland,97.9,Assistido,Não,2ª Temporada?,1x,,1,12,12,,,,1,22,12,264
Hagure Yuusha No Estetica,97.8,Assistido,Não,2ª Temporada?,1x,4,1,12,12,2012,Ação. Ecchi. Fantasia. Harém?. Superpoder,V,1,22,16,352
Zero No Tsukaima,97.7,Assistido,Não,5ª Temporada?,1x,,4,49,13. 12. 12. 12,2006-2012,Ação. Aventura. Comédia. Ecchi. Fantasia. Harém. ?Magia. Romance. Vida Escolar,V,1,22,49,1078
Arifureta Shokugyou De Sekai Saikyou,97.6,Assistido,Não,Ova-2 26/fev/2020,1x,,1,13,13,2019,Ação. Aventura. Fantasia. Harém?,V,1,22,13,286
Hataraku Maou-Sama,97.5,Assistido,Não,2ª Temporada?,1x,,1,13,13,2013,Comédia. Demônio. Fantasia. Romance. Sobrenatural,V,1,22,13,286
Rokudenashi Majutsu Kouchi To Akashic Records,97.5,Assistido,Não,2ª Temporada?,1x,,1,12,12,2017,Ação. Fantasia. Magia. Vida Escolar,V,1,22,12,264
Kyoukai No Kanata,97.5,Assistido,Não,2ª Temporada?,1x,,1,12,12,2013,FantasiaRomanceSlice Of LifeSobrenatural,V,1,22,12,264
